ID Comment,ID Post,User Name,Comments,Sentiments,Call Quality Issues,"Data Quality Issues (3G, 4G)",Coverage Issues,Response Time,Agent Behavior,Overcharging and Stolen Credit Issues,Billing Errors,Subscription & Plan Issues,Hidden Charges,Suggestions,Promotions & Discounts,Competitor Pricing & Value (Mobilis and Djezzy),Competitor Plan Flexibility (Mobilis and Djezzy),Competitor Data Consumption (Mobilis and Djezzy),Loyalty Expression,Service Information Request,Other
1,1,Yanise Yanise,سلام عليكم ورحمة لديا مشكلة ! تعبئة 100 دج و بدأت تنقص قليل قليل من 100 دج إلى 75دج و بعدها إلى 50 دج و بعدها إلى 25 دج ! اين ذهبت الوحدات تاعي ؟! لن أتكلم بها و لم اتصل بها و ليس لي خاصية رنتي اذن اين ذهب مالي؟!؟!؟!؟ و صار نفس الشيء مع أخي! ماهذا لابد من استرجاعه,Negatif,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,1,Jj Kie,كل عام و انتم بخير,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1,Sakou Younes,كل عام و أنتم بخير,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,1,راني نعاني,كل عام و نحن بخير,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,1,مروان سيدهم سيدهم مروان,كل عام وأنتم بخير وأتمنا رد لماذا اسئلة لماذا لحاص وكل عام وأنتم بخير,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6,1,Mostefa Merabti,سعيدة جديدة سنة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,1,وليد برك,أي عروض مدم رن في 2024,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
8,1,Aymen Aymen,تحيا جازي,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,Maram Akram,bonne annee a tous,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1,Lina Sami,كيفه نحول عروض جازي منفرد لكي نرجعها هايلة كثيرا,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,1,Yakoub Boussebsi,سنة سعيدة ورجعونا 6h,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12,1,Hamza Othmani,بداية سنة سيئة جدا، لقد ثم قطع شبكة ضلم، و مصلحة الزبائن لا ترد، عيب,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,1,Mohamed Mellak,عام سعيد 2024,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,جمعية الحي أبناء الغد لعياضات -قصر الأبطال-,نحيطكم علما انا قريتنا ( قرية لعياضات ) التابعة لبلدية قصر الأبطال دائرة عين ولمان ولاية سطيف ان شبكة انترنت جازي تنعدم تماما في قريتنا.نرجو منكم ايجاد حل لهذه المشكلة,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,Sàm Fàràh Mehimdà,كل مرة تسرقوا 50دج ؟ لماذا هاك تخلونا نبدلوا الخط,Negatif,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,1,Şàłàh Şğhïr,كل عام وانتم بالف خير,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1,Sofiane Sofiane,لماذا ديتولي 50 دج كل مرة راكم ديروهالي,Negatif,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,1,Lamine Jseb,ماذا بيه شبكة اليوم؟؟ لا يوجد انترنت منذ 3 ساعات,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,1,マウンテ ンライト,بهد مناسبة تبرع علينا ب انترنت,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20,1,Bnamer Boutayeb,اصلحوا تطبيق نتاعكم,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21,1,ゞゞじ づ づ,افعلو لنا أي شيء خاص ب انترنت,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,1,كنوش سمير,لا يوجد انترنت,Negatif,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,Fati Fati,من 2006 راني مشاركة معاكم أي نهار فرحونا بهديه,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24,1,Sofiane Renault Medea,بطيءة,Negatif,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,Sifadine Mehdi,شبكة ما به يذهب و يأتي ؟,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1,Añdřeä Añdřeä,متى تردون شبكة,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,1,Nabil Issam,ريقلونا رب شبكة,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1,Abdo Gros,malheureusement le reseau etait coupe men 17h ! hata maintenant pour wala في plus c est في niveau d alger yahsra les autres wilaya !! ni excuses ni rien! mais bon في souhaitant une amelioration cette annee incha allah,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2,Abdelghani Tahtah,ماهو هو الكود خاص ب قرض .. ؟؟,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
30,2,أحمد فيراس,جيد,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,2,Œœ Œœ,كيفاه نسلف عشرالاف,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32,2,Riad BM,من يبعثلي 2 جيغا,Neutre,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,2,Amine Boudiaf,رجعونا عروض امتياز لي نزع لنا,Negatif,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,2,زين الدين ابن البوادي,أود معرفة كيفية سرقة رصيدي ؟ الرجاء التوضيح لي رقمين من جازي دائما لا اجد الرصيد djezzy,Negatif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,Amani Amina,كيف رقم خدمة سلفي,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,2,العربي نواوي,ممكن نعرف لماذا تنقصو من الرصيد والله العظيم عيب عيب عيب تعبئة 50 الف غدا تجد 20 الف عيب حسبنا الله ونعم الوكيل.,Negatif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,Yassine Madrid,من فضلكم شريت شريحة جازي جديدة كيفاه تفعيل مع العلم فيها 60g انترنت و 70 مكالمات,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
38,2,Aoudjia Aimen,ما به تطبيق حابس اي اصلحوا اصلحوا شبكة نحن نعانون 2024 وريزو ميت في حالا والله ما فهمنا ومفهمتش لماذا نحن فالعالم الثالث (السبب الوحيد لا غيره لي مخلينا فالعالم الثالث انه لا يوجد عالم رابع او خامس),Negatif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39,2,صاحبة السعادة,علابيها اصبحتم تعبئة تدوهم,Negatif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
40,2,عائشة صديقة,djezzy من فضلكم أريد تقطيع الشريحة لتناسب الهاتف..هذا الا ممكن مع شريحتي الحالية هل يمكن استبدالها مع أخرى قابلة لتقطيع مع شرط الاحتفاظ برقمي الحالي..,Neutre,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41,2,Youcef Mellah,نحن نسلكو 150 لشهر و انترنت ربي يجيب ممكن توضيح,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42,2,Mar Lyn,تخدمو الجمعة ؟,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
43,2,Oussama Chabane,الحل,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44,2,Sifoune Soufyane,هل الرقم 455 خاص بكم ولماذا يتصل بي,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,2,Mohamed Rakmouche,طريقة فلكسي من جازي إلى جازي,Neutre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2,Ÿõn És,اصلحوا شبكة رحمة على والديكم,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2,Kh Khaled,احتاج إنترنت تمشي عادي,Neutre,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2,Sid Ali Haciane,شبكة جازي لا يوجد وليدوني لا يوجد,Negatif,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,Àyõub Ĥaňni,اريد طرح شكوا,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,2,Špįrîtûål Wølf,connexion zero service zero,Negatif,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,Teddy Kama,good evening and سعيدة جديدة سنة we were impressed by a brand of telephone it is yotaphone i think you will be too if you bring it back to us here quite simply because this telephone is expressed by these two faces,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,3,أبو ياسر,هل من عروض جديدة وقويـة,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
53,3,ßa Lim,الرجاء وضع خيار خروج الاجهزة الاخرة من الحساب على تطبيق جازي اب لكي عندما يدخل شخص برقمنا على التطبيق كلكم اعملو لايك لكي يشوفو تعليق ويديررونا هاذا لخيار,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
54,3,يو سف,أي مسابقات إلى كوتديفوار في دور 16 ثمن نهائي ول,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
55,3,Walid Taibi,dirolna djezzy win ch7al nhabo machi lazem 1 fois f la semaine wla rej3o 6 giga,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,3,عبداللطيف عبد اللطيف,اريد نشري لبيست خاص ب جازي ماذا من عرض لمليح,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
57,3,Mohamed Riyad,في fin hmdlh jazt bien djezzy riyad mahrez,Positif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
58,3,كادي بسام,سلام الكونيكسيون عندي ضعيف بزااف التطبيقات ليسو يعمل الا الفيس رسالتكم في خاص لم ترد عليا,Negatif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,3,Amïne Zērmaņì,djezzy,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,3,シ シ,ممكن حل مشكلة شبكة ثقيل فلابيس,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,3,سهام الدعاء,كي تشري شريحة ومنبعد ما لا تفتح بعد مرور خمس ساعات ما هو افعل,Neutre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
62,3,راني نعاني,انه قريب رمضان يجب افعلو انترنت مجانا,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,3,Ńæbįl Rb,كيف أربح رصيد تعبئة وأحوله إلى انترنت,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
64,3,Peniel Kenny Samba,"djezzy meilleur de meilleur, meilleur meilleur meilleur pour toujours sauf-que tu reponds pas في prive!",Positif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
65,3,خلاصي محمد الشريف,صراحة عندي ميمبا شهر من لي درت شريحة جازي علاجال الكونيكسيو لكن كيف كيف كي هي كي اوريدو فيزوج مكان مكان فالكونيكسيو صح الهضرة حسن لكن انترنت .,Negatif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,3,Abdo Gros,slvp t3icho machi chwiya chta trou7 lzem maintenant lwa7ed idir deux puces?! et zid 3lch la connexion trou7! je me souviens ya5lss chhar wa mat5lsch!,Negatif,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,3,Menad Misraoui,افعلو لنا جازيwalk win ماشي يجب خطرة في الأسبوع,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,3,Merdaci Abdallah,dirona des offres mla7 je suis nflixci 400 alf fi chehar w mtkfich,Negatif,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69,3,Sofiane Sn,w9tach dirulna scan jdid,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,3,Nøüfêl Kø,عروض امتياز ؟,Neutre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,3,Bogoosa La Brune,حبسو سرقة يا سراقين لزنيتي يروحو بدون سبب ما تحشموش تكسبو في دراهم لحرام لعنة الله عليكم يجب وقفة احتجاجية ضد جازي السراقين,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
