ID,Contents,Lien Post,Nb Like,Nb Love,Nb Care,Nb Wow,Nb Sad,Nb Angry,Nb Haha,Company,Date,Culture & Celebration,Sport,Product,Promotion,Network,Survey,Event,Contest & Games,Other
1,"جازي تتمنّى لكم سنة سعيدة🥰
#DJEZZY #HAPPY_NEW_YEAR_2024",https://www.facebook.com/djezzy/posts/788227516669599?ref=embed_post,272,45,0,1,1,76,14,Djezzy,2024-01-01,1,0,0,0,0,0,0,0,0
2,"راك en panne و خصك رصيد ؟
مع خدمة Tranquilo تاع Djezzy كلش ساهل👌
#جازي #Astuces_ساهلة",https://www.facebook.com/watch/?v=1068829281022985&ref=sharing,255,28,0,1,0,12,31,Djezzy,2024-01-04,0,0,0,0,0,0,0,0,1
3,It's Time To be a legend (Football),https://www.facebook.com/djezzy/posts/392564993435969:392564993435969?ref=embed_post,257,51,2,0,0,2,8,Djezzy,2024-01-10,0,1,0,0,0,0,0,0,0
4,"Djezzy vous souhaite Yennayer amervuh
 ! جازي تقدم لكم أحرّ التهاني بمناسبة السنة الأمازيغية الجديدة
#DJEZZY #Yennayer_2974",https://www.facebook.com/share/p/19UDNBoQ1k/,621,231,10,3,0,1,300,Djezzy,2024-01-11,1,0,0,0,0,0,1,0,0
5,قريباً ...,https://www.facebook.com/share/v/12B9LZySBRe/,288,49,4,0,0,3,24,Djezzy,2024-01-12,0,0,0,0,0,0,0,0,1
6,"و مكالمات غير محدودة نحو جميع شبكات النقال و الثابت.
بـ 2500دج فقط !
#نتا_هو_الأسطورة",https://www.facebook.com/share/v/15R9u8sYHg/,564,157,24,0,0,7,73,Djezzy,2024-01-13,0,0,1,0,1,0,0,0,0
7,"مع جازي LEGEND
إستفد من مكالمات مجانية نحو كل شبكات النقال و الثابت !
وحجم انترنت يصل إلى غاية 100 جيغا !
إكتشفوا مزايا العرض الجديد DJEZZY LEGEND على 👈 https://ms.spr.ly/6188iUry6
#نتا_هو_الأسطورة",https://www.facebook.com/djezzy/posts/797321975760153?ref=embed_post,438,31,5,0,0,26,52,Djezzy,2024-01-14,0,0,1,0,1,0,0,0,0
8,"تمتع بالمكالمات المجانية نحو جميع شبكات الجوال📱 والثابت  ☎️ واستفد من 70جيغا ب2000 دج فقط !
استكشف كل المميزات على 👈https://ms.spr.ly/6187iUx8v 
#نتا_هو_الأسطورة",https://www.facebook.com/djezzy/posts/797937005698650?ref=embed_post,428,23,4,1,1,5,52,Djezzy,2024-01-15,0,0,1,0,1,0,0,0,0
9,"مع DJEZZY LEGEND انت هو الـ LEGEND 
بـ 2000دج !
تحصلوا على 70Go انترنت، مكالمات غير محدودة نحو جميع شبكات الثابت و النقال ! 
إكتشفوا مزايا DJEZZY LEGEND على 👈 https://ms.spr.ly/6183isCkU 
#نتا_هو_الأسطورة",https://www.facebook.com/share/v/12BG5K7FV8K/,323,37,5,0,1,2,9,Djezzy,2024-01-20,0,0,1,0,0,0,1,0,0
10,GOAL Algeria VS Burkina Faso Football ,https://www.facebook.com/watch/?v=1346282365905418&ref=sharing,170,26,1,1,0,4,2,Djezzy,2024-01-20,0,1,0,0,0,0,0,0,0
11,"مع  PACK 3AYLA متراطي حتى Match ⚽  
استفاد من Modem 4G و 150GO انترنت لمدة 6 أشهر ب9990دج 🤩
مع PACK 3AYLA SUPPORTY 
 فريقك مع عايلتك💪
لمزيد من المعلومات زوروا موقعنا 👇🏻
 https://bit.ly/Djezzy-Pack3ayla
#Djezzy #Match #3ayla",https://www.facebook.com/watch/?v=1387729078503230&ref=sharing,130,8,1,1,1,2,31,Djezzy,2024-01-23,0,0,1,0,1,0,0,0,0
12,"مع ZUNI SPORT  على DJEZZY APP 📲 تابع مواعيد و نتائج المباريات لحظة بلحظة ⚽ 👌 
حمّل التطبيق الآن 👈 https://ms.spr.ly/6181gi6y3
#Djezzy_App #ZUNI_SPORT #Max_Foot",https://www.facebook.com/share/p/13tcBA3rkg/,189,16,3,0,0,3,11,Djezzy,2024-01-27,0,0,0,1,0,0,1,0,0
13,"اليوم هو اليوم العالمي لحماية البيانات. تذكير أساسي بأهمية الحفاظ على خصوصيتك على الإنترنت. 
حماية البيانات تهم كل واحد منا 💻🔐 
Aujourd'hui, c'est la Journée Mondiale de la Protection des Données. Un rappel essentiel de l'importance de préserver votre vie privée en ligne. La protection des données concerne chacun d'entre 
nous💻🔐 
#ProtectionDesDonnées #ViePrivéeEnLigne #Djezzy",https://www.facebook.com/share/p/15aRgkr5JS/,161,13,2,1,0,1,11,Djezzy,2024-01-28,1,0,0,0,0,0,1,0,0
14,"اختبر معلوماتك في كرة القدم ⚽️ 
 وحاول تفوز بقسيمة شراء بقيمة 100 مليون سنتيم أسبوعيا 🤑 
ما عليك غير تحمّل DJEZZY APP 📲 على الرابط  👈 https://ms.spr.ly/6181gi6y3
#DJEZZY_APP #DJEZZY_WIN",https://www.facebook.com/share/p/1AzBbfwqh1/,229,22,5,0,0,2,9,Djezzy,2024-01-30,0,0,1,1,0,0,0,0,0
15,"أخبار محلية ، ثقافية ، رياضية ⚽
مع  DJEZZY SCOOP 📣 ميفوتك حتى خبر ! 
 للاشتراك إتصل على 404 أو أرسل SMS الى نفس الرقم
#Djezzy_Scoop #Max_News",https://www.facebook.com/share/p/13yNkR5JW2/,150,7,0,0,0,1,11,Djezzy,2024-01-31,0,0,0,0,1,1,0,0,0
16,"شكون فيكم يعرف Le code باش يكتيفي Double Appel ؟
#جازي #Astuces_ساهلة",https://www.facebook.com/watch/?v=1497445130819223&ref=sharing,325,33,4,0,0,5,6,Djezzy,2024-02-01,0,0,0,0,0,0,0,1,1
17,"كيفاش تتفادى توقف الخط ديالك 🤔 ؟
تابع الحل في الفيديو 👇 
#جازي #Astuces_ساهلة",https://www.facebook.com/watch/?v=408877615031858&rdid=nscweaDh1ie6K7G0,161,18,2,0,0,3,10,Djezzy,2024-02-15,0,0,0,0,0,0,0,0,1
18,"في رايكم , هاذ المرة علاش جينا 😉",https://www.facebook.com/share/v/1CVK8AkWr6/,202,24,2,1,0,5,18,Djezzy,2024-02-18,0,0,0,0,0,0,1,0,0
19,"انضموا إلينا  🚶‍ في مبادرة البسمة WALK for ؛ لنرسم البسمة مع بعض في كل خطوة.
حملوا  DJEZZY APP 📱 و حولوا خطواتكم إلى تبرعات لقفة رمضان  🌙 
رابط التحميل 👈 https://ms.spr.ly/6181gi6y3
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/14kGTVBiaXU/,177,19,3,0,0,13,3,Djezzy,2024-02-19,0,0,0,0,0,0,1,1,0
20,"باش نفرحو الناس في هذا رمضان 🌙 و نرسموا البسمة على وجوه الصايمين 😀 
يلا نمشوا مع بعض و نتبرعوا بخطواتنا على DJEZZY APP 👣 📲 
رابط التحميل  👈 https://ms.spr.ly/6181gi6y3",https://www.facebook.com/share/v/19nVrLQmjV/,173,17,5,0,0,0,2,Djezzy,2024-02-20,0,0,0,0,0,0,0,0,1
21,"شارك في تحدي المشي 🚶‍♂️ مع صحابك و سجل خطواتك في فيديو و أنشرها على صفحتك ، طاڨي DJEEZY مع هاشتاغ
 #جازي #قفة_رمضان #البسمةWalk4
أحسن فيديو  راح نبرطاجيوها عبر صفحتنا 💪 
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3",https://www.facebook.com/share/p/1ESi1iAD8L/,299,34,3,2,1,6,52,Djezzy,2024-02-21,0,0,0,0,1,0,1,0,0
22,"خطوة ساهلة بمناسبة شهر رمضان الكريم 🌙 
#جازي #Astuces_ساهلة #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/v/19dwGJKfjm/,181,23,3,0,0,4,1,Djezzy,2024-02-22,1,0,0,0,0,0,1,0,0
23,"طاڨي صاحبك  يمشي بالزربة 🚶‍♂️ 🏃‍♂️
#جازي  #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/14KAHkwsXF/,201,23,3,0,2,4,58,Djezzy,2024-02-23,0,0,0,0,0,0,1,0,0
24,"كل واحد يكتبلنا في التعليقات شحال من خطوة مشاها على Djezzy App 👣 🚶‍♂️ 📱 
يدرى شكون راح يكون 🏆 Le champion  ؟
 #جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/18BbsUNDKa/,204,18,3,0,0,3,26,Djezzy,2024-02-24,0,0,0,0,0,0,1,1,0
25,"البسمة WALK FOR 🚶‍♂️ مازالها متواصلة 👣
 طاڨي صاحبك لي مازال ماشاركش معانا 
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/v/17cPeTM5qo/,111,20,0,0,0,5,9,Djezzy,2024-02-26,1,0,0,0,0,0,0,0,0
26,"نشاركوا معاكم  TOP 10 تع البسمة Walk for
إنضموا إلينا، مازلنا متواصلين من أجل رسم البسمة مع بعض.
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/1BYQb7q2cL/,185,17,1,0,0,4,10,Djezzy,2024-02-27,0,0,0,0,0,0,1,1,0
27,"🚶‍ مبادرة البسمة  WALK for مازالها متواصلة  ؛ خطواتنا راح تفرّح بزاف ناس 
حملوا  DJEZZY APP 📱 و حولوا خطواتكم إلى تبرعات لقفة رمضان  🌙 
رابط التحميل 👈 https://ms.spr.ly/6181gi6y3
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/18KCQQmfLL/,228,30,2,0,1,3,6,Djezzy,2024-02-29,0,0,0,0,0,0,1,1,0
28,"و للأسبوع الثاني ✌️ البسمة WALK FOR مازالها متواصلة بنجاح بفضل خطواتكم 👣
#جازي #قفة_رمضان #البسمةwalk4",https://www.facebook.com/share/v/12AywsCXXA3/,128,20,0,0,0,2,4,Djezzy,2024-03-04,0,0,0,0,0,0,1,0,0
29,"نشاركوا معاكم   🚶‍♂️ 👣 The best walkers  للأسبوع الثاني ✌️ 
إنضموا إلينا من أجل رسم البسمة مع بعض في هذا رمضان 
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/share/p/1Azzo8rf7E/,167,19,0,0,0,1,2,Djezzy,2024-03-06,0,0,0,0,0,0,0,0,1
30,"نختتم مبادرة البسمة WALK FOR بأكثر من 821 مليون خطوة 💪 👣
شكراً على مشاركتكم و دعمكم القيّم 🙏 مع بعض صنعنا البسمة 😀
#جازي #قفة_رمضان #البسمةWalk4",https://www.facebook.com/watch/?v=3419181848374064&rdid=OpVtNNOSdxW0g2eO,110,23,1,0,0,1,1,Djezzy,2024-03-10,1,0,0,0,0,0,1,0,0
31,"باش تولي مشهور لازملك بزّاف انترنت 🤩
و باش تولي أسطورة لازملك DJEZZY LEGEND 😉
اكتشفوا تفاصيل العرض على 👈 https://bit.ly/3uW7xsl",https://www.facebook.com/share/v/15kQvgwaYH/,89,15,2,0,0,1,13,Djezzy,2024-03-11,0,0,1,0,1,0,0,0,0
32,"حمّل DJEZZY APP و شارك في مسابقة عمرة RANATI لشخصين 🕋
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3",https://www.facebook.com/share/v/18BXF4DAnq/,131,37,0,0,0,0,1,Djezzy,2024-03-11,0,0,0,0,0,0,0,1,0
33,"هذا رمضان الفرحة دوبل 😄X2 على DJEZZY APP 📱  
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3",https://www.facebook.com/share/v/1FyzpbnWBQ/,106,30,1,1,0,2,0,Djezzy,2024-03-12,0,0,0,0,1,0,0,0,0
34,"مع DJEZZY APP دوبلي فرحتك 🤩 و الانترنت ديالك ✌️ 
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3",https://www.facebook.com/share/v/17z9TWBMWj/,132,20,2,0,0,2,2,Djezzy,2024-03-13,0,0,1,0,0,0,0,0,0
35,"باش دير محتوى أسطوري لازملك عرض أسطوري 😎 
اكتشفوا التفاصيل   👈 https://ms.spr.ly/6187cis3P
مع DJEZZY LEGEND انت هو الأسطورة  👊",https://www.facebook.com/share/p/1NTLjuLH4q/,179,22,0,1,0,3,31,Djezzy,2024-03-14,1,0,0,0,0,0,1,0,0
36,"كامل يوصلنا  SMS 📲 بلي ربحنا في مسابقات و حنا ماشاركناش فيها !
كيفاش نتفادوها  ؟
#جازي #Astuces_ساهلة #رمضان2024",https://www.facebook.com/share/v/1Ax3tK3yQf/,71,13,1,0,0,2,0,Djezzy,2024-03-14,0,0,0,0,0,0,1,1,0
37,"انترنت ❌ 2  لمدة أسبوع !
حمّل Djezzy App و استمتع ب10 جيغا لكل عرض تاع 300 دج 
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3
#جازي #دوبل_أنترنت #رمضان2024_جازي_APP",https://www.facebook.com/share/v/1QvSNe3qr6/,86,16,2,0,0,8,3,Djezzy,2024-03-17,0,0,0,0,0,0,0,0,1
38,"كونكتي Double❌ 2 و أفرح Double❌ 2 مع انترنت  Double ❌ 2
حمّل التطبيق👈 https://ms.spr.ly/6181gi6y3
#جازي #دوبل_أنترنت #رمضان2024_جازي_APP",https://www.facebook.com/share/p/19cMcLv6sd/,139,18,0,0,0,4,2,Djezzy,2024-03-17,0,0,0,0,1,0,1,0,0
39,"مع عرض جازي LEGEND MAX الجديد، استفد من مكالمات غير محدودة نحو جميع الشبكات الوطنية وحدّ أقصى من الانترنت !
للمزيد من التفاصيل : https://ms.spr.ly/6186cUdNk
#جازي #نتاـهوـالأسطورة",https://www.facebook.com/share/p/1Gxhnote12/,163,31,1,0,0,2,1,Djezzy,2024-03-22,0,0,0,0,0,0,0,0,1
40,"مع DJEZZY APP أبقى دايماً Connecté بDouble 
  استمتع ب10 جيغا لمدة أسبوع  ب300 دج فقط ! 
رابط التطبيق👈 https://ms.spr.ly/6181gi6y3
#جازي #دوبل_أنترنت #رمضان2024_جازي_APP",https://www.facebook.com/share/v/19THVFCcWA/,64,18,0,0,0,2,2,Djezzy,2024-03-23,0,0,1,0,1,0,0,0,0
41,"
عندك LEGEND MAX؟
BIEN SÛR QUE انت اسطورة 😎",https://www.facebook.com/share/v/1EZyVsxH3S/,91,20,0,1,0,0,6,Djezzy,2024-03-25,0,0,0,0,0,0,0,0,1
